Target: http://10.10.191.254/api/items?FUZZ=test
Total requests: 4702
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00347:  C=400      0 L	       1 W	     45 Ch	  "US"
00344:  C=400      0 L	       1 W	     45 Ch	  "Thumbs.db"
00346:  C=400      0 L	       1 W	     45 Ch	  "U"
00358:  C=400      0 L	       1 W	     45 Ch	  "WS_FTP"
00360:  C=400      0 L	       1 W	     45 Ch	  "WebAdmin"
00363:  C=400      0 L	       1 W	     45 Ch	  "XML"
00364:  C=400      0 L	       1 W	     45 Ch	  "XXX"
00362:  C=400      0 L	       1 W	     45 Ch	  "X"
00359:  C=400      0 L	       1 W	     45 Ch	  "WS_FTP.LOG"
00361:  C=400      0 L	       1 W	     45 Ch	  "Windows"
00365:  C=400      0 L	       1 W	     45 Ch	  "_"
00367:  C=400      0 L	       1 W	     45 Ch	  "_admin"
00371:  C=400      0 L	       1 W	     45 Ch	  "_backup"
00370:  C=400      0 L	       1 W	     45 Ch	  "_assets"
00372:  C=400      0 L	       1 W	     45 Ch	  "_baks"
00369:  C=400      0 L	       1 W	     45 Ch	  "_archive"
00366:  C=400      0 L	       1 W	     45 Ch	  "_adm"
00368:  C=400      0 L	       1 W	     45 Ch	  "_ajax"
00373:  C=400      0 L	       1 W	     45 Ch	  "_borders"
00375:  C=400      0 L	       1 W	     45 Ch	  "_catalogs"
00379:  C=400      0 L	       1 W	     45 Ch	  "_css"
00378:  C=400      0 L	       1 W	     45 Ch	  "_config"
00380:  C=400      0 L	       1 W	     45 Ch	  "_data"
00377:  C=400      0 L	       1 W	     45 Ch	  "_conf"
00374:  C=400      0 L	       1 W	     45 Ch	  "_cache"
00376:  C=400      0 L	       1 W	     45 Ch	  "_common"
00381:  C=400      0 L	       1 W	     45 Ch	  "_database"
00383:  C=400      0 L	       1 W	     45 Ch	  "_derived"
00386:  C=400      0 L	       1 W	     45 Ch	  "_files"
00387:  C=400      0 L	       1 W	     45 Ch	  "_flash"
00385:  C=400      0 L	       1 W	     45 Ch	  "_dummy"
00382:  C=400      0 L	       1 W	     45 Ch	  "_db_backups"
00384:  C=400      0 L	       1 W	     45 Ch	  "_dev"
00388:  C=400      0 L	       1 W	     45 Ch	  "_fpclass"
00390:  C=400      0 L	       1 W	     45 Ch	  "_framework/blazor.webassembly.js"
00394:  C=400      0 L	       1 W	     45 Ch	  "_img"
00393:  C=400      0 L	       1 W	     45 Ch	  "_images"
00395:  C=400      0 L	       1 W	     45 Ch	  "_inc"
00392:  C=400      0 L	       1 W	     45 Ch	  "_framework/_bin/WebAssembly.Bindings.dll"
00389:  C=400      0 L	       1 W	     45 Ch	  "_framework/blazor.boot.json"
00391:  C=400      0 L	       1 W	     45 Ch	  "_framework/wasm/dotnet.wasm"
00396:  C=400      0 L	       1 W	     45 Ch	  "_include"
00398:  C=400      0 L	       1 W	     45 Ch	  "_install"
00401:  C=400      0 L	       1 W	     45 Ch	  "_lib"
00402:  C=400      0 L	       1 W	     45 Ch	  "_media"
00400:  C=400      0 L	       1 W	     45 Ch	  "_layouts"
00397:  C=400      0 L	       1 W	     45 Ch	  "_includes"
00399:  C=400      0 L	       1 W	     45 Ch	  "_js"
00403:  C=400      0 L	       1 W	     45 Ch	  "_mem_bin"
00405:  C=400      0 L	       1 W	     45 Ch	  "_mmserverscripts"
00408:  C=400      0 L	       1 W	     45 Ch	  "_old"
00409:  C=400      0 L	       1 W	     45 Ch	  "_overlay"
00407:  C=400      0 L	       1 W	     45 Ch	  "_notes"
00404:  C=400      0 L	       1 W	     45 Ch	  "_mm"
00406:  C=400      0 L	       1 W	     45 Ch	  "_mygallery"
00410:  C=400      0 L	       1 W	     45 Ch	  "_pages"
00412:  C=400      0 L	       1 W	     45 Ch	  "_reports"
00416:  C=400      0 L	       1 W	     45 Ch	  "_scripts"
00415:  C=400      0 L	       1 W	     45 Ch	  "_scriptlibrary"
00417:  C=400      0 L	       1 W	     45 Ch	  "_source"
00414:  C=400      0 L	       1 W	     45 Ch	  "_resources"
00411:  C=400      0 L	       1 W	     45 Ch	  "_private"
00413:  C=400      0 L	       1 W	     45 Ch	  "_res"
00418:  C=400      0 L	       1 W	     45 Ch	  "_src"
00420:  C=400      0 L	       1 W	     45 Ch	  "_styles"
00423:  C=400      0 L	       1 W	     45 Ch	  "_tempalbums"
00424:  C=400      0 L	       1 W	     45 Ch	  "_template"
00422:  C=400      0 L	       1 W	     45 Ch	  "_temp"
00419:  C=400      0 L	       1 W	     45 Ch	  "_stats"
